Word,Meaning,Part of Speech,Examples Sentence, Synonym,Topic,To Indonesian
Unpleasant,Causing <discomfort-or- unhappines>-or- or revulsion; disagreeale.,Adjective,"When drunk-or- he could become very <unpleasant>.
The symptoms are extremely  <unpleasant>.
An <unpleasant> smell.",disagreeable-or- uncomortable-or- nasty-or- horrible-or- execrable-or- odious-or- hateful,Environment,Tidak Enak-or- Langu
Orchestrated,"<Arrange or score (music)> for orchestral performance.
Arrange or direct the elements of (a situation) to produce a desired effect-or- especially surreptitiously.",Verb,"The song cycle was stunningly arranged and <orchestrated>.
The developers were able to <orchestrate> a favorable media campaign.",arrage-or- adapt-or- score-or- organize,Culture-or- Arts-or- and Diversity,Diatur-or- Mengarang Musik-or- Menyusun Musik
Worn,"Past participle of wear1.
<Damaged and shabby> as a result of much use.",Verb-or- Adjective,A <worn>-or- frayed denim jacket.,shabby-or- in ribbons-or- holey-or- in rags-or- crumbling,Environment,Usang-or- Lecek
Torn,"Past participle of tear1.
Split by eing <pulled or pierced with a sharp implement>.
Feeling that one is in a state of unvertainty between two conflicting options or parties.",Adjective-or- Verb,"A <torn> calf muscle.
He must have been very <torn> about what he should do.
She felt <torn> between two conflicting worlds.",,Advertising,Robek-or- Sobek-or- Koyak
Lullaby,"A quiet-or- <gentle song sung to send a child to sleep>.
Sing to (someone) to get them to go to sleep.",Noun-or- Verb,She <lullabied> us-or- she fed us.,cradle song-or- soothing song-or- gentle song-or- quiet song,Community,Lagu Nina Bobok-or- Lagu Pengantar Tidur
Sincerely,In a <sincere or geniune way>.,Adverbia,"I <sincerely> hope that we can change this trend.
<Sincerely> held differences of belief.",geniunely-or- honestly-or- really-or- truly-or- fervently-or- seriously,Community,Terus Terang-or- Dengan Tulus Hati
Shook,"Past of shake.
Emotionally or <physically distrubed>; upset.",Verb-or- Adjective,She looks pretty <shook> up from the letter.,,Community,Menggoyang-or- Gemetar-or- Menggoyahkan-or- Mengguncang
Eager,(of a person) <wanting to do> or have something very much.,Adjective,The man was <eager> to please.,anxious-or- impatient-or- hopeful-or- hoping-or- hungry-or- wishing,People,Ingin Sekali-or- Asyik-or- Yang Berhasrat
Errand,A <short journey undertaken in order to deliver or collect something>-or- especially on someone else's behalf.,Noun,She asked Tim to run an <errand> for her.,task-or- job-or- chore-or- assigment-or- collection-or- delivery,Government,Tugas-or- urusan-or- suruhan-or- pesanan
Scoundrel,A <dishonest or unscrupulous> person; a rogue.,Noun,That <scoundrel> sets a bad example for the other young men.,rogue-or- rascal-or- trickster-or- charlatan-or- cur-or- cheat-or- hound,City,Bajingan-or- Bandit-or- Bangsat-or- Brandal
Traitor,A person who <betrays a friend>-or- countr-or- principle-or- etc.,Noun,They see me as a <traitor>-or- a sellout to the enemy.,betrayer-or- quisling-or- fraternizer-or- colluder-or- rat-or- defector-or- apostate,Government,Penghianat
Delve,"<Reach inside a receptacle> and search for something.
dig; excavate.",Verb,The society is determined to <delve> deeper into the matter.,search (through)-or- fish around in-or- poke around in-or- dig in-or- turn upside down.,Community,Menggali-or- Menyelidiki-or- Mempelajari
Arbor,"A <shady garden> alcove with sides and a roof formed by trees or climbing plants trained over a wooden framework.
An axle or spindle on which something revolves.",Noun,A bricked outdoor area with a grape <arbor>. ,,Environment,Punjung-or- Anjang anjang
Culprit,A person <who is responsible for a crime> or other misdeed.,Noun,"They caught the real <culprit> so here I am.
He is determined to find the <culprit>.",guilty party-or- offender-or- wrongdoer-or- felon-or- malfeasant-or- transgressor,Government,Pelakunya-or- Orang yang Melakukan Kejahatan
Equilibrium,A state in which opposing <forces or influences are balanced>.,Noun,"The maintenance of social <equilibrium>.
I stumbled over a rock and recovered my <equilibrium>.
The market is in <equilibrium>.",balance-or- symmetry-or- parity-or- equality-or- stability,Science,Keseimbangan-or- Kesetimbangan-or- Imbang
Abundances,"A <very large quantity> of something.
(in solo whist) a bid which a player undertakes to make nine or more tricks.",Noun,The tropical island boasts an <abundance> of wildlife.,,Environment,Kelimpahan-or- Kejerahan-or- Keadaan berlimpah-limpah
Revelations,"A surprising and previously unknown fact-or- especially one that is made known in a dramatic way.
The <divine or supernatural disclosure to humans> of something relating to human existence or the world.",Noun,"<Revelations> about his personal life.
An attempt to reconcile Darwinian theories with biblical <revelation>.",disclosure-or- surprising fact-or- divulgence-or- declaration-or- utterance-or- acknowledgment,Energy,Wahyu-or- Ilham-or- Pembukaan-or- Pemberitahuan
Curfew,A regulation requiring people to remain indoors between <specified hours-or- typically at night>.,Noun,"A dusk-to-dawn <curfew>.
They had to return before the <curfew> sounded.
The whole area was immediately placed under <curfew>.",,Travel & Places,Jam Malam-or- Bunyi Sirine
Preserve,"<Maintain (something) in its original or existing state>.
A sweet food made with fruit preserved in sugar-or- such as jam or marmalade.
A sphere of activity regarded as being reserved for a particular person or group.",Verb-or- Noun,"All records of the past were zealously <preserved>.
A jar of cherry <preserve>.
The civil service became the <preserve> of the educated middle class.",conserve-or- protect-or- maintain-or- care for-or- save-or- jam-or- jelly,Culture-or- Arts-or- and Diversity,Mempertahankan-or- Menjaga-or- Mengawetkan-or- Cagar-or- Selai-or- Suaka Alam
Despite,Without being affected by; <in spite of>. ,Preposition-or- Noun,"He remains a great leader <despite> age and infirmity.
The <despite> done by him to the holy relics.
The theater only earns my <despite>.",in spite of-or- notwithstanding-or- regardless of-or- for all-or- even with-or- undeterred by,Community,Meskipun-or- Meski-or- Walaupun
Delegate,"A person <sent or authorized to represent others>-or- in particular an elected representive sent to a conference.
Entrust (a task or responsibility) to another person-or- typically one who is less senior than oneself.",Noun-or- Verb,"The <delegates> rejected the proporsal.
The power <delegated> to him must never be misused.",representative-or- envoy-or- agent-or- deputy-or- frontman,Business,Melimpahkan-or- Mengutus-or- Wakil
Imminent,"<About to happen>.
Overhanging.",Adjective,They were in <imminent> danger of being swept away.,impending-or- close-or- near-or- approaching-or- about to happen,Business,Dekat-or- Sebentar Lagi
Catastrophe,An <event causing great and often sudden damage> or suffering; a disaster.,Noun,A national economic <catastrophe>.,disaster-or- calamity-or- crisis-or- holocaust-or- ruin-or- tragedy,Energy,Malapetaka-or- Bencana Alam-or- Tewasnya
Fortune,"<Chance or luck> as an external-or- arbitrary force affecting human affairs.
A large amount of money or assets.",Noun,"Some malicious act of <fortune> keeps them separate.
He eventually inherited a substantial <fortune>.",chance-or- accident-or- destiny-or- freak-or- fate,Energy,Nasib-or- Kekayaan-or- Peruntungan-or- Rezeki
Omniscient,<Knowing everything>.,Noun,The story is told by an <omniscient> narrator.,all-knowing-or- all-wise-or- all-seing,People,Mahatahu-or- Maha Mengetahui
Trespassing,"<Enter the owner's land or property without permission>.
Commit an offense against (a person or a set of rules).",Verb,"There is no excuse for <trespassing> on railroad property.
A man who had <trespassed> against Judaic law.",enter without permission-or- enroach on-or- invade-or- infringe,Travel & Places,Masuk tanpa izin-or- Melanggar-or- Bersalah
Hesitation,<The action of pausing> or hesitating before saying or doing somehing.,Noun,She answered without <hesitation>.,pausing-or- delay-or- waiting-or- dithering-or- stalling-or- temporizing-or- doubt-or- equivocation-or- wavering,Business,Keraguan-or- Kebimbingan-or- Keragu-raguan
Prevailing ,<Existing at a particular time>; current.,Adjective,The unfavorable <prevailing> economic conditions.,,Business,Umum-or- Kuat-or- yang Berlaku
Auspicious,<Conducive to success>; favorable.,Adjective,It was not the most <auspicious> moment to hold an election.,favorable-or- promising-or- propitious-or- encouranging-or- timely,Advertising,Penuh Harapan-or- Bertanda Baik
Gathered,"Come together; <assemble or accumulate>.
Bring together and take in from scattered places or sources.
Develop a higher degree of.",Verb,"A crowd <gathered> in the square.
We have <gathered> the information.
The green movement is <gathering> pace.",congregate-or- convene-or- collect-or- store-or- accumulate-or-amass,Community,Mengumpulkan-or- Berkumpul
Salvation,Preservation or <deliverance from harm>-or- ruin-or- or loss.,Noun,They try to sell it to us as economic <salvaion>.,lifeline-or- preservation-or- conservation-or- means of escape,Animals,Keselamatan-or- Hal Menyelamatkan
Lenient,"(of punishment or a person in authority) <permissive-or- merciful-or- or tolerant>.
Emollient.",Adjective,Judges were far too <lenient> with pretty criminals.,merciful-or- clement-or- sparing-or- tolerant-or- forgiving-or- magnanimous,People,Lunak-or- Ringan-or- Toleran-or- Lemah Lembut
Vanished,"<Dissapear suddenly> and completely.
Become zero",Verb,Mary <vanished> without a trace.,disappear-or- be lost to sight/view-or- become invisible-or- evaporate,Culture-or- Arts-or- and Diversity,Menghilang-or- Punah-or- Terhapus
Stricken (strike),Seriously affected by an undesirable <condition or unpleasant feeling>.,Verb-or- Adjective,The pilot laned the <stricken> aircraft.,troubled-or- affected-or- afflicted-or- struck-or- hit-or- injured,Community,Terkena-or- Terluka
Doom,"<Death-or- destruction>-or- or some other terrible fate.
Condemn to certain destruction or death.",Noun-or- Verb,"The aircraft was sent crashing to its <doom> in the water.
Fuel was spilling out of the damaged wing and the aircraft was <doomed>.",destruction-or- downfall-or- ruin-or- ruination-or- end-or- death-or- disaster,Environment,Malapetaka-or- Kiamat-or- Ajal
Precipice,A very steep rock <face or cliff>-or- especially a tall one.,Noun,We swerved toward the edge of the <precipice>.,cliff face-or- scarp-or- escarp-or- scar-or- linn-or- crag-or- bluff-or- height,Travel & Places,Jurang-or- Tebing Curam-or- Ngarai
Pinnacle,"The <most successful point>; the culmination.
A high-or- pointed piece of rock.",Noun,He had reached the <pinnacle> of his career.,peak-or- height-or- summit-or- top-or- climax-or- highest level,Business,Puncak
Detour,A long or <roundabout route> that is taken to <avoid something> or to visit somewhere along the way.,Noun,He had made a <detour> to a cafe.,turning-or- drift-or- reversal,Travel & Places,Jalan Memutar-or- Penyimpangan-or- Pemutaran
Heed,"<Pay attention to>; take notice of.
Careful attention.",Verb-or- Noun,"He should have <heeded> the warnings.
If he heard-or- he paid no <heed>.",listen to-or- pay attention-or- note-or- notice-or- watch out for,Community,Mengindahkan-or- Memperhatikan
Resist,"Withstand the action or effect of.
<refrain from doing or having> (something tempting or unwise).
A resistant substance applied as a coating to protect a surface during some process-or- for example to prevent dye or glaze adhering.",Verb. Noun,"He didn''t help us to <resist> infection.
Sweets are much easier to <resist> when you've filled up on healthy food first.
The exposed areas of <resist> will soften.",withstand-or- outlast-or- keep out-or- be impervious to-or- counter-or- combat-or- endure,Government,Menolak-or- Melawan-or- Menahan
Forewarned,<Inform> (someone) of a <danger> or possible problem.,Verb,He had been <forewarned> of a coup plot.,warn-or- prewarn-or- inform-or- sign-or- forecast-or- premonition-or- herald,Government,Memperingatkan
Reminiscence,<A story told about a past event> remembered by the narrator.,Noun,His <reminiscences> of his early days in Washington.,memories-or- recollections-or- reflections-or- anecdotes,Culture-or- Arts-or- and Diversity,Kenangan-or- Kenang-Kenangan
Riddle,"A <question or statement intentionally phrased so as to require ingenuity in ascertaining its answer> or meaning-or- typically presented as a game.
A large coarse sleve-or- especially one used for separating ashes from cinders or sand from gravel.",Noun,They started asking <riddles> and telling jokes.,guess-or- secret-or- secrecy-or- puzzle,Community,Tebakan-or- Rahasia
Pollinate,Convey pollen to or <deposit pollen> on (a stigma-or- ovule-or- flower-or- or plant) and so <allow fertilization>.,Verb,There are not enough bees to <pollinate> their crops.,pollen,Animals,Menyerbuki
Forbidden,<Not allowed>; banned.,Adjective,A list of <forbidden> books.,banned-or- vetoed-or- not allowed-or- unauthorized-or- illegal,Business,Terlarang
Facing,"<A layer of material covering part of a garment and providing contrast>-or- decoration-or- or strength.
An outer layer covering the surface of a wall.
Positioned with the front toward a certain direction; opposite.",Noun,"The bricks were used as a <facing> on a concrete core.
Two large front-<facing> windows.",cladding-or- veneer-or- skin-or- surface-or- overlay-or- siding-or- inlay-or- coating,Environment,Lapisan Luar-or- Bis-or- Celah Vertikal Utama
Extinction,"The fact or process of a <species-or- family>-or- or other <group of animals or plants becoming extinct>.
Reduction in the intensity of light or other radiation as it passes through a medium or object-or- due to absorption-or- reflection-or- and scattering.",Noun,"Preventing the <extinction> of this unique frog will require the restoration of ponds and surrounding habitats.
Ultravioulet <extinction>.",dying out-or- dissappearance-or- vanishing-or- death-or- destruction-or- annihilation,Animals,Kepunahan-or- Punahnya
Exhilarating,<Making one feel very happy>-or- animated-or- or elaed; thrilling.,Adjective,An <exhilarating> two-hour rafting experience.,exhilarate-or- chirk-or- delight-or- enliven,People,Meriangkan-or- Menggembirakan-or- Menyenangkan
Bustling,<(of a place) full of activity>.,Adjective,"The <bustling> little town.
An absurd and <bustling> busybody.",busy-or- crowded-or- swarming-or- teeming-or- full,Community,Kesibukan-or- Gempar
Subtly,"In a manner that is so <delicate or precise as to be difficult to analyze or describe>.
In a clever and indirect way-or- in order to achieve something.",Adverbia,"The script <subtly> shifts in tone from comedy to tragedy.
He would prattle on about something else for a while before <subtly> raising the question again.",,Advertising,Secara Halus
Rectify,"<Put right; correct>.
convert (alternating current) to direct current.
find a straight line equal in length to (a curve).",Verb,"Mistakes made now cannot be <rectified> later.
His methods of <rectifying> the cycloid.",correct-or- right-or- sort out-or- deal with-or- repair,Science,Memperbaiki-or- Meralat-or- Membetulkan
Incentivizes,Provide (someone) with an <incentive for doing something>.,Verb,This is likely to <incentivize> management to find savings.,,People,Memberikan Insentif
Entrenched,(of an attitude-or- habit-or- or belief) <firmly established> and difficult or unlikely to change; ingrained.,Adjective,An <entrenched> resistance to change.,ingrained-or- established-or- firm-or- rooted-or- fixed,Science,Bercokol-or- Yang Berurat Berakar
Disperse,"Distribute or <spread over a wide area>.
Denoting a phrase dispersed in another phrase-or- as in a colloid.",Verb-or- Adjective,"Storms can <disperse> seeds via high altitudes.
Emulsions should be examined after storage for droplet size of the <disperse> phrase.",scatter-or- pepper-or- diffuse-or- strew-or- sow,Government,Membubarkan-or- Bubar-or- Menyebar-or- Berpencar
Bizarre,<Very strange or unusual>-or- especially so as to cause interest or amusement.,Adjective,Her <bizarre> dressses and outrageous hairdos.,strange-or- odd-or- funny-or- abnormal-or- unfamiliar-or- unusual,People,Aneh-or- Ganjil Ajaib
Dilute,"<Make (a liquid) thinner or weaker> by adding water or another solvent to it.
(of a liquid) made thinner or weaker by having had water or another solvent added to it.",Verb-or- Adjective,Bleach can be <diluted> with cold water.,weaken-or- thin-or- mix-or- lace-or- watery,Environment,Mencairkan-or- Mengencerkan-or- Melemahkan-or- Menipiskan
Desist,<Cease; abstain>.,Verb,Each pledged to <desist> from acts of sabotage.,abstain-or- refrain-or- forbear-or- keep-or- stop,Environment,Berhenti
Sophisticated ,"Having-or- revealing-or- or proceeding from a <great deal of worldly experience and knowledge of fashion and culture>.
(of a machine-or- system-or- or technique) developed to a high degree of complexity.",Adjective,"A chic-or- <sophisticated> woman.
Highly <sophisticated> computer systems.
A young man with <sophisticated> tastes.",worldly-or- knowledgeable-or- suave-or- urbane-or- cultured-or- civilized-or- ,Environment,Mutakhir-or- Canggi-or- Rumit
Assault,"Make a <physical attack> on.
A physical attack.
A concerted attempt to do something demanding.",Verb-or- Noun,"He pleaded guilty to <assaulting> a police officer.
His imprisonment for an <assault> on the film director.
A winter <assault> on Mt. Everest.",hit-or- strike-or- swat-or- knock-or- rap-or- lash,People,Serangan-or- Penyerangan
Indeed,"Used to emphasize a statement or <response confirming something already suggested>.
Used to introduce a further and stronger or more surprising point. 
Used in a response to expresss interest-or- incredulity-or- or contempt.",Adverbia,"It was not expected to last long-or- and <indeed> it took less than three weeks.
The idea is attractive to many men and <indeed> to many women.",actually-or- as expected-or- in fact-or- in reality-or- exactly,Government,Memang-or- Sungguh
Fad,An intense and widely shared enthusiasm for something-or- especially one that is <short-lived and without basis in the object's qualities>; a craze.,Noun,Prairie restoration is the latest gardening <fad> in the Midwest.,craze-or- vogue-or- fashion-or- mode-or- rage-or- fetish,Fashion,Mode-or- Ragam-or- Anutan
Crucible,A <ceramic or metal container> in which metals or other substances may be <melted or subjected> to very high temperatures.,Noun,"Their relationship was forged in the <crucible> of war.
The <crucible> tipped and the mold filled with liquid metal.",,Science,Percobaan-or- Tempat Pencarian Logam
Despicable,<Deserving hatred> and contempt.,Adjective,A <despicable> crime.,hateful-or- odious-or- horrible-or- shameful-or- offensive,Government,Tercela-or- Hina-or- Keji
Nefarious,(typically of an action or activity) <wicked or criminal>.,Adjective,The <nefarious> activities of the organized-crime syndicates.,wicked-or- evil-or- sinful-or- criminal-or- dark-or- ifernal-or- appaling,Community,Jahat-or- Keji
Audacity,"A <willingness to take bold risks>.
Rude or disrespectful behavior; impundence.
",Noun,"Her <audacity> came in handy during our most recent emergency.
She had the <audacity> to pick up the receiver and ask me to hang up.",boldness-or- daring -or- courage-or- heroism-or- spirit-or- mettle-or- moxie,People,Keberanian-or- Kecurangajaran-or- Kelancangan
Envious,Feeling or <showing envy>.,Adjective,I'm <envious> of their happiness.,jealous-or- covetous-or- desirous-or- green-or- resentful-or- bitter,Peple,Iri
Banishment,The <punishment of being sent away from a country> or other place.,Noun,Adam and Eve's <banishment> from the Garden of Eden.,,Environment,Pembuangan-or- Diasingkan
Pretend,"<Speak and act so as to make it appear> that something is the case when <in fact it is not>.
Lay claim to (a quality or title).",Verb,"I closed my eyes and <pretended> I was asleep.
He cannot <pretend> to sophistication.",make as if-or- affectm pose-or- posture-or- sham-or- fake it,People,Berpura pura-or- berlaku
Grumpy,<Bad-tempered> and <irritable>.,Adjective,"His performance as the <grumpy> gateman.
He's <grumpy> because he hasn't heard from you.",testy-or- cross-or- snappy-or- eggy-or- crabby-or- touchy-or- irritable,People,Pemarah-or- Galak
Sweating,"<Exude sweat>.
Heat (chopped vegetables) slowly in a pan with a small amount of fat-or- so that they cook in their own juices.
Subject (metal) to surface melting-or- especially to fasten or join by solder without a soldering iron.",Verb,"He was <sweating> profusely.
<Sweat> the celery and onions with olive oil and seasoning.
The tire is <sweated> onto the wooden parts.",perspire-or- swelter-or- glow-or- be damp,People,Berkeringat
Inaugural,"<Marking the beginning of an institution-or- activity-or- or period of office>. 
An inaugural speech-or- especially one made by an incoming US president.",Adjective-or- Noun,"His <inaugural> concert as Music Director.
Presidential <inaugurals> set the tone for a new asministration.",first-or- initial-or- launching-or- opening-or- maiden,Government,Perdana
Prattle,"She began to prattle on about her visit to the dentist.
<Foolish or inconsequential talk>.",Verb-or- Noun,"She began to <prattle> on about her visit to the dentist.
Do you intend to keep up this childish <prattle>?",chatter-or- babble-or- run on-or- gabble-or- maunder-or- patter-or- yap,People,Ocehan-or- Mengoceh-or- Kecek-or- Mengumam
Inundated,"<Overwhelm (someone)> with things or people to be dealt with.
Flood.",Verb,"We've been <inundated> with complaints from listeners.
The islands may be the first to ve <inundated> as sea levels rise.",overwhelm-or- overpower-or- bury-or- glut-or- overload,Environment,Tergenang-or- Keempohan-or- Keairan
Advocate,"A <person who publicly supports> or recommends a particular cause or policy.
Publicly recommend or support.",Noun-or- Verb,"He was an untiring <advocate> of economic reform.
They <advocated> an ethical foreign policy.
Marshall was a skilled <advocate> but a mediocre judge.",patron-or- upholder-or- supporter-or- promoter-or- exponent-or- reformer-or- prescribe,Advertising,Menganjurkan-or- Menyokong-or- Penganjur-or- Pengacara
Malicious,<Characterized by malice>; intending or intended to do harm.,Adjective,The transmission of <malicious> software such as computer viruses.,spiteful-or- malevolent-or- hostile-or- bitter-or- evil-or- malign,People,Jahat-or- Dengki
Accusation,A charge or <claim that someone has done something illegal> or wrong.,Noun,"<Accusations> of bribery.
There was <accusation> in Brian's voice.",allegation-or- charge-or- claim-or- araignment-or- plaint-or- blame,Government,Tuduhan-or- Dakwaan-or- Gugatan
Sewage,Waste water and <excrement conveyed in sewers>.,Noun,<Sewage> treatment.,,Environment,Kotoran-or- Air Selokan
Plead,"Make an <emotional appeal>.
Present and argue for (a position)-or- especially in court or in another public context.",Verb,"""Don't go-or-"" she <pleaded>.
Using cheap melodrama to <plead> the case for three prisoners.",beg-or- entreat-or- beseech-or- implore-or- call on-or- adjure-or- apply to,Government,Mengaku-or- Membela-or- Mengakui
Digest,"<Break down (food) in the alimentary canal into substances> that can be absorbed and used by the body.
A compilation or summary of material or information.",Verb-or- Noun,"A <digest> of their findings.
A <digest> of cloned DNA.",break down-or- dissolve-or- assimilate-or- absorb-or- take in-or- take up,Travel & Places,Intisari-or- Perpendekan-or- Inti
Frightened,<Afraid or anxious>.,Adjective,A <frightened> child.,,People,Ketakutan-or- Keder
Coastal,of or <near a coast>.,Adjective,<Coastal> erosion.,,Travel & Places,Pesisir-or- berhubung dengan pantai
Delicacies,"<Fineness or intricacy of texture or structure>.
Susceptibility to illness or adverse conditions; fragility.
Tact and consideration.",Noun,"Miniature pearls of exquisite <delicacy>.
I have to treat this matter with the utmost <delicacy>.",finess-or- exquisiteness-or- grace-or- accuracy-or- intricacy-or- exactness,Travel & Places,Kelezatan-or- Kehalusan-or- keenakan
Diminishing,Make or <become less>.,Verb,A tax whose purpose is to <diminish> spending.,decrease-or- lessen-or- contract-or- slump-or- prune,Government,Yang Berkurang
Hasty,Done or <acting with excessive speed> or urgency; hurried.,Adjective,A <hasty> attempt to defuse the situation.,quick-or- hurried-or- fast-or- rapid-or- passing-or- flying-or- short,People,Gegabah-or- Terburu-or- Singkat
Nitpicking,"The finding or <pointing out of minor faults in a fussy or pedantic> way.
Finding or pointing out minor faults in a fussy or pedantic way.",Noun-or- Adjective,"He endured a ridiculous amount of <nitpicking>-or- considering what he did achieve.
The <nitpicking> workshop supervisor.",pedantic-or- finicky-or- purist-or- fussy-or- fastidious-or- captious-or- carping,Government,Mengkritik secara detail-or- Banyak Rewel
Imlore,<Beg someone earnestly> or desperately to do something.,Verb,He <implored> her to change her mind.,beg-or- call on-or- urge-or- pray-or- ask-or- request-or- solicit-or- supplicate,People,Memohon-or- Memohon dengan sangat
Bummer,"A <thing> that is <annonying> or <disappointing>.
Used to express frustation or disappointment-or- typically sympathetically.",Verb,The party was a real <bummer>.,,Environment,Gelandangan
Nurturing,Care for and <encourage the growth> or development of.,Verb,Jarrett was <nurtured> by his parents in a close-knit family.,bring up-or- care up-or- foster-or- parent-or- feed-or- forward,Animals,Memelihara-or- mengasuh-or- Mendidik
Baffling,<Impossible to understand>; perplexing.,Adjective,The crime is a <baffling> mystery for the police.,,People,Mengherankan
Commotion,A state of confused and <noisy disturbance>.,Noun,She was distracted by a <commotion> across the street.,disturbance-or- racket-or- uproar-or- fuss-or- stir-or- storm-or- melee-or- bother,Government,Keributan-or- Kegaduhan-or- Kegemparan
Bargaining,<negotiate the terms> and conditions of a transaction.,Verb,He <bargained> with the city council to rent the stadium.,haggle-or- barter-or- trade-or- dicker-or- deal,Advertising,Berdagang-or- Menduga-or- Mengharapkan
Fazed,<Disturb or disconcert> (someone).,Verb,She was not <fazed> by his show of anger.,,People,Mengganggu
